sample,I_in,Q_in,I_out,Q_out,phase_err,u,nco_sin,nco_cos
0,11585,11585,0,0,0,0,0,0
1,11215,11943,0,0,0,0,0,32767
2,10835,12289,5607,5971,23854376,0,0,32767
3,10443,12624,5417,6144,47643218,-294832,0,32767
4,10042,12946,5221,6311,71464827,-591401,0,32767
5,9630,13255,5020,6472,95155368,-890916,0,32767
6,9209,13550,4814,6627,118780375,-1191356,0,32767
7,8779,13833,4604,6774,142241547,-1493516,0,32767
8,8340,14102,4389,6916,165604418,-1796175,0,32767
9,7893,14357,4169,7050,188803454,-2100125,-201,32766
10,7438,14598,3990,7153,207327174,-2404545,-201,32766
11,6976,14824,3763,7275,230175324,-2653658,-201,32766
12,6507,15036,3533,7390,252765768,-2958198,-402,32765
13,6031,15233,3345,7477,270792399,-3261993,-603,32761
14,5550,15415,3155,7559,288644530,-3511794,-603,32761
15,5063,15582,2916,7654,310545370,-3761364,-804,32757
16,4571,15733,2721,7726,327972303,-4062881,-1005,32752
17,4074,15869,2525,7792,345172304,-4311442,-1206,32745
18,3574,15989,2327,7853,362176017,-4559059,-1407,32737
19,3070,16093,2128,7910,378904714,-4806087,-1608,32728
20,2563,16182,1927,7961,395402640,-5051532,-1809,32717
21,2053,16254,1726,8007,411663118,-5295912,-2009,32705
22,1542,16311,1522,8048,427664942,-5539119,-2210,32692
23,1029,16351,1319,8084,443373018,-5780866,-2611,32663
24,515,16375,1164,8108,455083306,-6020692,-2811,32646
25,0,16384,958,8134,470287770,-6212785,-3012,32628
26,-515,16375,753,8157,485228544,-6449315,-3412,32589
27,-1029,16351,596,8169,496313890,-6684210,-3612,32567
28,-1542,16311,389,8182,510671396,-6873049,-4011,32521
29,-2053,16254,233,8188,521358954,-7103515,-4210,32495
30,-2563,16182,26,8191,535099755,-7290155,-4609,32441
31,-3070,16093,-131,8190,-528209684,-7515674,-5007,32382
32,-3574,15989,-288,8186,-517659927,5569270,-5205,32351
33,-4074,15869,-495,8176,-503463080,5495297,-5602,32285
34,-4571,15733,-651,8165,-492522261,5375121,-5404,32318
35,-5063,15582,-957,8135,-470456332,5293672,-5205,32351
36,-5550,15415,-1262,8093,-447757394,5073552,-4808,32412
37,-6031,15233,-1614,8030,-420544100,4843251,-4609,32441
38,-6507,15036,-1915,7964,-396527858,4554730,-4410,32469
39,-6976,14824,-2213,7887,-371932731,4302817,-4210,32495
40,-7438,14598,-2507,7798,-346798760,4041184,-4011,32521
41,-7893,14357,-2798,7699,-321236756,3770264,-3811,32545
42,-8340,14102,-3085,7588,-295165630,3491369,-3612,32567
43,-8779,13833,-3368,7467,-268711558,3203451,-3412,32589
44,-9209,13550,-3646,7335,-241856950,2908015,-3212,32609
45,-9630,13255,-3919,7193,-214657577,2604803,-3012,32628
46,-10042,12946,-4186,7041,-187206120,2294462,-2811,32646
47,-10443,12624,-4448,6879,-159423252,1978100,-2811,32646
48,-10835,12289,-4661,6736,-136042263,1654710,-2611,32663
49,-11215,11943,-4911,6556,-107868766,1382758,-2611,32663
50,-11585,11585,-5114,6399,-84244202,1049075,-2410,32678
51,-11943,11215,-5351,6202,-55839700,768606,-2410,32678
52,-12289,10835,-5543,6031,-32021196,426535,-2410,32678
53,-12624,10443,-5730,5854,-8215028,138111,-2410,32678
54,-12946,10042,-5911,5671,15679248,-152704,-2410,32678
55,-13255,9630,-6086,5483,39495832,-447151,-2210,32692
56,-13550,9209,-6288,5250,67932650,-743190,-2410,32678
57,-13833,8779,-6418,5090,87006008,-1098877,-2410,32678
58,-14102,8340,-6575,4886,110659692,-1341873,-2410,32678
59,-14357,7893,-6725,4677,134205416,-1643517,-2410,32678
60,-14598,7438,-6869,4463,157608092,-1946353,-2410,32678
61,-14824,6976,-7006,4245,180867720,-2249936,-2611,32663
62,-15036,6507,-7111,4067,199419424,-2554251,-2611,32663
63,-15233,6031,-7235,3842,222333954,-2802862,-2811,32646
64,-15415,5550,-7330,3657,240635388,-3107378,-2811,32646
65,-15582,5063,-7441,3425,263120175,-3357325,-3012,32628
66,-15733,4571,-7526,3236,281031192,-3660932,-3212,32609
67,-15869,4074,-7605,3045,298765210,-3910410,-3412,32589
68,-15989,3574,-7680,2852,316341739,-4159614,-3412,32589
69,-16093,3070,-7765,2609,337843479,-4408765,-3612,32567
70,-16182,2563,-7828,2412,354903285,-4708308,-3811,32545
71,-16254,2053,-7887,2213,371793160,-4955247,-4011,32521
72,-16311,1542,-7941,2013,388401344,-5201908,-4410,32469
73,-16351,1029,-7978,1861,400802931,-5446891,-4609,32441
74,-16375,515,-8022,1659,416956582,-5641656,-4808,32412
75,-16384,0,-8061,1456,432847200,-5884120,-5007,32382
76,-16375,-515,-8096,1251,448512000,-6125058,-5404,32318
77,-16351,-1029,-8118,1096,460143580,-6364903,-5602,32285
78,-16311,-1542,-8143,890,475279456,-6556572,-5800,32250
79,-16254,-2053,-8164,684,490099050,-6792795,-6195,32176
80,-16182,-2563,-8175,528,501070837,-7026725,-6590,32098
81,-16093,-3070,-8184,371,511927800,-7214681,-6786,32057
82,-15989,-3574,-8190,164,525934213,-7402390,-7179,31971
83,-15869,-4074,-8192,7,536321388,-7630184,-7571,31880
84,-15733,-4571,-8191,-149,-527013053,-7814742,-7767,31833
85,-15582,-5063,-8184,-356,-513021114,5270381,-8157,31736
86,-15415,-5550,-8176,-513,-502232249,5153737,-8545,31633
87,-15233,-6031,-8165,-669,-491205470,5075187,-8351,31685
88,-15036,-6507,-8134,-975,-469141034,4992544,-8157,31736
89,-14824,-6976,-8092,-1280,-446402595,4772302,-7767,31833
90,-14598,-7438,-8028,-1632,-419145984,4541373,-7571,31880
91,-14357,-7893,-7961,-1932,-395095356,4252172,-7375,31926
92,-14102,-8340,-7883,-2230,-370463414,3999685,-7179,31971
93,-13833,-8779,-7794,-2524,-345328020,3737444,-6983,32014
94,-13550,-9209,-7693,-2815,-319698352,3466349,-6786,32057
95,-13255,-9630,-7582,-3102,-293602011,3186461,-6590,32098
96,-12946,-10042,-7461,-3384,-267167400,2898067,-6393,32137
97,-12624,-10443,-7328,-3662,-240288132,2602705,-6195,32176
98,-12289,-10835,-7186,-3934,-213075921,2299024,-6195,32176
99,-11943,-11215,-7058,-4158,-190037084,1988356,-5998,32213
100,-11585,-11585,-6897,-4420,-162352748,1726363,-5998,32213
101,-11215,-11943,-6755,-4635,-138973660,1404493,-5800,32250
102,-10835,-12289,-6576,-4885,-110838400,1132877,-5800,32250
103,-10443,-12624,-6420,-5089,-87227700,799979,-5602,32285
104,-10042,-12946,-6224,-5327,-58807749,519998,-5602,32285
105,-9630,-13255,-6054,-5520,-35023136,178055,-5602,32285
106,-9209,-13550,-5878,-5707,-11168645,-109633,-5602,32285
107,-8779,-13833,-5695,-5888,12653267,-400725,-5602,32285
108,-8340,-14102,-5508,-6065,36495966,-693962,-5602,32285
109,-7893,-14357,-5314,-6235,60306086,-990001,-5602,32285
110,-7438,-14598,-5116,-6398,84045740,-1288184,-5602,32285
111,-6976,-14824,-4913,-6556,107714928,-1588039,-5602,32285
112,-6507,-15036,-4704,-6707,131249080,-1889559,-5800,32250
113,-6031,-15233,-4533,-6824,150110850,-2191938,-5800,32250
114,-5550,-15415,-4316,-6963,173433300,-2439082,-5800,32250
115,-5063,-15582,-4096,-7095,196549250,-2743373,-5998,32213
116,-4571,-15733,-3915,-7196,215019837,-3047603,-6195,32176
117,-4074,-15869,-3732,-7293,233365232,-3296887,-6195,32176
118,-3574,-15989,-3501,-7407,255969035,-3546596,-6393,32137
119,-3070,-16093,-3313,-7492,273914596,-3850897,-6590,32098
120,-2563,-16182,-3122,-7574,291728084,-4100038,-6786,32057
121,-2053,-16254,-2930,-7651,309380713,-4349464,-6786,32057
122,-1542,-16311,-2688,-7739,331010155,-4598804,-6983,32014
123,-1029,-16351,-2492,-7804,348147267,-4899182,-7179,31971
124,-515,-16375,-2294,-7864,365088642,-5146346,-7571,31880
125,0,-16384,-2143,-7907,377742610,-5392922,-7767,31833
126,515,-16375,-1942,-7959,394297344,-5588316,-7962,31785
127,1029,-16351,-1740,-8005,410571330,-5833274,-8157,31736
128,1542,-16311,-1537,-8047,426590126,-6076530,-8545,31633
129,2053,-16254,-1383,-8075,438542844,-6318370,-8739,31580
130,2563,-16182,-1179,-8107,454032521,-6511666,-8933,31526
131,3070,-16093,-973,-8134,469296343,-6749954,-9319,31414
132,3574,-15989,-817,-8151,480625145,-6987105,-9512,31356
133,4074,-15869,-611,-8169,495325948,-7177251,-9896,31237
134,4571,-15733,-455,-8179,506236171,-7410284,-10278,31113
135,5063,-15582,-298,-8187,516995316,-7598037,-10469,31050
136,5550,-15415,-91,-8192,530903839,-7785088,-10849,30919
137,6031,-15233,66,-8192,-532465220,-8012214,-11228,30783
138,6507,-15036,223,-8189,-522017358,5073915,-11605,30643
139,6976,-14824,379,-8183,-511360662,5001656,-11980,30498
140,7438,-14598,536,-8174,-500512304,4925700,-11793,30571
141,7893,-14357,842,-8149,-478758908,4846237,-11417,30714
142,8340,-14102,1197,-8104,-452563546,4630833,-11228,30783
143,8779,-13833,1501,-8053,-429350422,4358205,-11039,30852
144,9209,-13550,1802,-7991,-405539876,4119638,-10849,30919
145,9630,-13255,2101,-7918,-381131770,3871208,-10659,30985
146,10042,-12946,2397,-7834,-356251840,3612849,-10469,31050
